State,EV_Sales_FY2023_thousands,Charging_Stations,EV_Sales,EVs_per_Charger,Gap_vs_Global_Standard,Gap_Severity
Andaman & Nicobar,0.1,3.0,100,33.3,23.3,Below Standard
Andhra Pradesh,28.7,327.0,28700,87.8,77.8,Critical
Arunachal Pradesh,0.2,9.0,200,22.2,12.2,Below Standard
Assam,31.8,86.0,31800,369.8,359.8,Extreme Crisis
Bihar,45.3,124.0,45300,365.3,355.3,Extreme Crisis
Chandigarh,62.6,12.0,62600,5216.7,5206.7,Extreme Crisis
Chhattisgarh,3.9,149.0,3900,26.2,16.2,Below Standard
Delhi,67.1,1886.0,67100,35.6,25.6,Below Standard
Goa,7.2,113.0,7200,63.7,53.7,Critical
Gujarat,81.4,476.0,81400,171.0,161.0,Critical
Haryana,27.7,377.0,27700,73.5,63.5,Critical
Himachal Pradesh,16.1,44.0,16100,365.9,355.9,Extreme Crisis
Jammu and Kashmir,15.6,47.0,15600,331.9,321.9,Extreme Crisis
Jharkhand,4.0,135.0,4000,29.6,19.6,Below Standard
Karnataka,52.3,1041.0,52300,50.2,40.2,Critical
Kerala,45.3,852.0,45300,53.2,43.2,Critical
Ladakh,0.5,0.0,500,,,
Lakshadweep,0.0,1.0,0,0.0,-10.0,
Madhya Pradesh,16.0,341.0,16000,46.9,36.9,Below Standard
Maharashtra,158.7,3079.0,158700,51.5,41.5,Critical
Manipur,0.5,17.0,500,29.4,19.4,Below Standard
Meghalaya,1.0,21.0,1000,47.6,37.6,Below Standard
Mizoram,1.0,0.0,1000,,,
Nagaland,1.8,6.0,1800,300.0,290.0,Extreme Crisis
Odisha,32.3,198.0,32299,163.1,153.1,Critical
Pondicherry,16.0,23.0,16000,695.7,685.7,Extreme Crisis
Punjab,39.2,158.0,39200,248.1,238.1,Extreme Crisis
Rajasthan,20.0,500.0,20000,40.0,30.0,Below Standard
Sikkim,4.4,2.0,4400,2200.0,2190.0,Extreme Crisis
Tamil Nadu,88.3,643.0,88300,137.3,127.3,Critical
Telangana,71.8,481.0,71800,149.3,139.3,Critical
Tripura,0.2,18.0,200,11.1,1.1,Below Standard
Uttar Pradesh,114.1,582.0,114100,196.0,186.0,Critical
Uttarakhand,13.3,76.0,13300,175.0,165.0,Critical
West Bengal,16.8,318.0,16800,52.8,42.8,Critical
