State,EV_Sales_FY2023_thousands,Charging_Stations
Andaman & Nicobar,0.1,3
Andhra Pradesh,28.7,327
Arunachal Pradesh,0.2,9
Assam,31.8,86
Bihar,45.3,124
Chandigarh,62.6,12
Chhattisgarh,3.9,149
Delhi,67.1,1886
Goa,7.2,113
Gujarat,81.4,476
Haryana,27.7,377
Himachal Pradesh,16.1,44
Jammu & Kashmir,15.6,47
Jharkhand,4.0,135
Karnataka,52.3,1041
Kerala,45.3,852
Ladakh,0.5,0
Lakshadweep,0.0,1
Madhya Pradesh,16.0,341
Maharashtra,158.7,3079
Manipur,0.5,17
Meghalaya,1.0,21
Mizoram,1.0,6
Nagaland,1.8,6
Odisha,32.3,198
Puducherry,16.0,23
Punjab,39.2,158
Rajasthan,20.0,500
Sikkim,4.4,2
Tamil Nadu,88.3,643
Telangana,71.8,481
Tripura,0.2,18
Uttar Pradesh,114.1,582
Uttarakhand,13.3,76
West Bengal,16.8,318
